Zip,ICS,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
92801,532420,2001,36,1,1.0,0,0,1,0,1,1,2001,32812,0,0,30000,15000
90505,531210,2001,56,1,1.0,0,0,1,0,1,1,2003,30000,0,0,30000,15000
92103,531210,2001,36,10,1.0,0,0,1,0,1,1,2001,30000,0,0,30000,15000
92108,531312,2003,36,6,1.0,0,0,1,0,1,1,2003,50000,0,0,50000,25000
91345,531390,2006,240,65,1.0,3,65,1,1,0,1,2006,343000,0,0,343000,343000
95831,531210,2003,84,1,1.0,0,0,1,0,1,1,2003,55825,0,0,50000,25000
90255,531210,2006,269,2,1.0,0,2,1,1,0,1,2006,297500,1,247074,297500,223125
90808,531210,2006,84,1,2.0,2,1,1,2,1,1,2006,67047,0,0,30000,15000
92704,531390,2004,22,5,1.0,0,0,1,1,2,1,2004,50000,1,35333,50000,25000
94583,531320,2004,84,4,2.0,0,0,1,1,1,1,2004,17500,0,0,10000,5000
91360,532299,2004,64,6,1.0,0,0,1,1,1,1,2004,50000,1,47211,50000,25000
94103,531312,2004,84,1,1.0,0,0,1,1,1,1,2004,17536,0,0,14000,7000
95746,531311,2004,84,12,1.0,0,0,1,1,1,1,2004,33276,0,0,25000,12500
91354,531210,2006,76,2,2.0,0,2,1,2,1,1,2006,30000,1,29700,30000,15000
95965,531312,2004,60,8,1.0,0,0,1,1,1,1,2004,30502,0,0,30000,15000
91505,531210,2006,60,13,2.0,7,20,1,1,1,1,2007,25000,0,0,25000,12500
94550,531210,2004,84,1,1.0,0,0,1,1,1,1,2004,20000,0,0,20000,10000
92101,532111,1997,300,15,1.0,0,0,1,0,2,1,1997,1000000,0,0,1000000,750000
95695,531210,2004,38,2,2.0,0,0,1,1,3,1,2004,10097,1,9709,10000,5000
91356,532299,2004,84,22,1.0,0,0,1,1,1,1,2004,10000,0,0,10000,5000
92507,531210,2006,240,13,1.0,8,0,1,1,0,1,2006,79000,0,0,79000,79000
92507,531210,2006,240,13,1.0,8,0,1,1,0,1,2006,249000,0,0,249000,249000
90662,532299,2004,62,2,1.0,0,0,1,1,3,1,2004,4999,1,4999,10000,5000
91604,531210,2006,84,3,2.0,0,3,1,2,1,1,2006,59450,0,0,30000,15000
94080,532299,2004,84,3,1.0,0,0,1,1,1,1,2004,25530,0,0,20000,10000
90305,531210,2005,67,12,1.0,0,0,1,1,2,1,2004,50000,1,50000,50000,25000
95030,531210,2005,32,5,1.0,0,0,1,1,3,1,2005,64000,0,16728,50000,25000
94901,531210,2005,84,4,1.0,0,0,1,1,2,1,2004,39000,0,0,10000,5000
94707,532299,2005,84,3,1.0,0,0,1,1,2,1,2004,25000,0,0,25000,12500
95037,533110,2005,84,2,1.0,0,0,1,1,1,1,2004,32697,0,0,25000,12500
91208,531210,2005,84,4,1.0,0,0,1,1,1,1,2004,25000,0,0,25000,12500
95630,531210,2005,84,1,2.0,0,0,1,1,1,1,2005,10000,0,0,10000,5000
93610,532230,2005,84,2,1.0,0,0,1,2,2,1,2004,10000,0,0,10000,5000
91604,531210,2005,34,1,2.0,0,0,1,1,2,1,2005,12750,1,8415,10000,5000
92656,531320,2005,84,1,1.0,0,0,1,1,2,1,2005,35000,0,0,35000,17500
92545,532111,1997,300,30,1.0,0,0,1,0,0,1,1997,150500,0,0,150500,112875
92708,532490,2005,84,8,1.0,0,0,1,1,2,1,2005,100000,0,0,100000,50000
92868,531210,2005,33,12,1.0,0,0,1,1,2,1,2005,50000,1,38832,50000,25000
92307,531311,2005,84,3,1.0,0,0,1,1,1,1,2005,50000,0,0,50000,25000
93274,532299,2005,4,2,1.0,0,0,1,1,2,1,2005,12000,1,1547,12000,6000
93546,531210,2005,84,2,1.0,0,0,1,2,1,1,2005,11000,0,0,11000,5500
92590,531320,2005,84,7,1.0,0,0,1,1,2,1,2005,50000,0,0,50000,25000
92301,531390,2005,56,3,1.0,0,0,1,1,1,1,2005,25009,1,24952,25000,12500
92307,531390,2005,50,1,1.0,0,0,1,1,1,1,2005,50591,1,49447,50000,25000
91941,531210,2005,84,6,1.0,0,0,1,1,1,1,2005,229540,0,0,100000,50000
91789,531390,2005,61,4,1.0,0,0,1,1,3,1,2005,10000,1,10000,10000,5000
92831,532112,2005,42,7,1.0,0,0,1,1,2,1,2005,100000,1,61348,100000,50000
92801,532120,2005,42,10,1.0,0,0,1,1,2,1,2005,100000,1,61325,100000,50000
92648,531320,2005,84,4,1.0,0,4,1,1,1,1,2005,113000,0,0,50000,25000
92083,532299,2005,84,18,1.0,2,18,1,1,2,1,2005,50000,0,0,50000,25000
91730,531390,2005,49,3,1.0,2,3,1,1,3,1,2005,69500,1,50000,50000,25000
94117,531210,2005,60,2,1.0,0,2,1,1,2,1,2005,50000,1,41691,50000,25000
93611,532230,1997,32,6,1.0,0,0,1,0,0,1,1997,90000,1,8469,90000,72000
91505,531210,2005,84,2,1.0,0,2,1,1,1,1,2008,10000,0,0,10000,5000
92260,531390,2005,84,58,1.0,4,58,1,1,2,1,2005,100000,0,0,100000,50000
92301,531311,2005,53,2,1.0,1,2,1,1,1,1,2005,25000,1,25000,25000,12500
94931,531210,2005,19,1,2.0,0,1,1,1,1,1,2005,23282,1,5897,10000,5000
92701,531210,2005,42,12,2.0,0,12,1,1,3,1,2005,20000,1,10000,10000,5000
95945,531210,2006,240,13,1.0,6,13,15710,2,0,1,2006,229000,0,0,229000,229000
92688,531210,2005,25,2,1.0,2,2,1,2,2,1,2005,83500,1,36562,50000,25000
92887,532490,2005,84,4,1.0,0,4,1,1,1,1,2005,50000,0,0,50000,25000
95628,531210,2005,84,4,1.0,1,4,1,1,2,1,2005,50000,0,0,50000,25000
91502,532120,2005,28,1,1.0,0,1,1,1,1,1,2005,58945,1,15000,15000,7500
93604,532292,2005,84,30,1.0,1,30,1,2,2,1,2005,50000,0,0,50000,25000
91221,532120,2006,39,3,1.0,1,4,1,1,1,1,2006,116007,1,40000,40000,20000
94070,532291,2005,84,6,1.0,0,6,1,1,1,1,2005,64000,0,0,50000,25000
92879,532230,2005,60,2,1.0,0,2,1,1,2,1,2005,60000,0,0,60000,30000
94526,531210,2005,84,4,1.0,0,4,1,1,1,1,2005,58602,0,0,50000,25000
92115,532230,1997,119,3,1.0,0,0,1,0,2,2,1997,100000,0,0,100000,80000
90210,531312,2005,84,2,1.0,1,2,1,1,1,1,2005,19700,0,0,10000,5000
90305,531311,2005,68,4,1.0,0,4,1,1,3,1,2005,45018,1,45000,45000,22500
93010,531210,2005,84,5,1.0,0,5,1,1,1,1,2005,67597,0,0,50000,25000
94546,532412,2005,18,1,1.0,0,1,1,1,1,1,2005,13107,1,3955,10000,5000
92807,531210,2006,240,345,1.0,20,0,1,1,0,1,2006,568000,0,0,568000,568000
91301,531320,2005,47,7,1.0,0,7,1,1,2,1,2005,100000,1,73426,100000,50000
92056,531110,1997,240,7,1.0,13,7,1,0,2,1,1997,357000,0,0,357000,357000
91311,531210,2005,84,1,1.0,0,1,1,1,1,1,2005,14900,0,0,10000,5000
92807,531210,2005,42,4,1.0,0,4,1,1,2,1,2005,33500,1,20953,22000,11000
92130,531210,2005,33,2,1.0,1,2,1,1,2,1,2005,100000,1,64362,100000,50000
90036,532230,2005,57,9,1.0,1,9,1,1,2,1,2005,50000,1,44065,50000,25000
94588,531210,2005,84,1,2.0,0,1,37481,1,1,1,2005,10000,0,0,10000,5000
91607,531210,2005,36,30,1.0,0,30,1,1,2,1,2005,10000,0,0,10000,5000
90504,531210,2005,30,16,1.0,0,16,1,1,2,1,2005,81937,1,48632,60000,30000
91914,531210,2005,84,2,2.0,0,2,1,1,1,1,2005,10000,0,0,10000,5000
92173,531311,2005,84,4,1.0,2,4,1,1,2,1,2005,35000,0,0,35000,17500
90274,531210,2005,84,4,1.0,1,4,1,1,1,1,2005,139892,0,0,47900,23950
